id,subject,grade,chapter,chapter_number,name,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords,created_at
1,数学,Grade 7,第一章 有理数,1,有理数的概念,理解有理数的定义，掌握正数、负数和零的概念，能够识别和分类有理数,2,4,0.8,能够识别和分类有理数，理解有理数在数轴上的表示,混淆有理数和无理数的概念，不理解零的性质,通过数轴理解有理数的大小关系，记住有理数包括整数和分数,有理数|正数|负数|整数|分数|零,2025-09-02T22:25:49.908733
2,数学,Grade 7,第一章 有理数,1,数轴,掌握数轴的概念，理解数轴上点与有理数的一一对应关系,2,4,0.75,能够在数轴上标出有理数，利用数轴比较有理数大小,不理解数轴的三要素，混淆点的坐标,记住数轴的三要素：原点、正方向、单位长度,数轴|原点|正方向|单位长度|坐标,2025-09-02T22:25:49.908733
3,数学,Grade 7,第一章 有理数,1,有理数的加法,掌握有理数加法法则，能够进行有理数的加法运算,3,5,0.9,熟练掌握同号、异号有理数的加法运算,符号处理错误，不理解加法交换律和结合律,同号相加取相同符号，异号相加取绝对值大的符号,有理数加法|同号|异号|绝对值|运算法则,2025-09-02T22:25:49.908733
4,数学,Grade 7,第一章 有理数,1,有理数的减法,理解有理数减法的意义，掌握减法与加法的关系,3,5,0.85,能够将减法转化为加法进行计算,不能正确转化为加法，符号变换错误,减去一个数等于加上这个数的相反数,有理数减法|相反数|减法转加法,2025-09-02T22:25:49.908733
5,数学,Grade 7,第一章 有理数,1,有理数的乘法,掌握有理数乘法法则，理解乘法的符号规律,3,5,0.88,熟练进行有理数乘法运算，理解乘法律,符号判断错误，不理解零的特殊性,同号得正，异号得负，绝对值相乘,有理数乘法|符号规律|乘法交换律|乘法结合律,2025-09-02T22:25:49.908733
6,数学,Grade 8,第一章 函数,1,函数的概念,理解函数的定义，掌握函数的表示方法,4,5,0.9,能够判断两个变量之间是否存在函数关系,混淆自变量和因变量，不理解一一对应关系,函数是一种特殊的对应关系，一个自变量对应唯一的函数值,函数|自变量|因变量|对应关系|定义域,2025-09-02T22:25:49.908733
7,数学,Grade 8,第一章 函数,1,一次函数,掌握一次函数的定义、图像和性质,4,5,0.95,能够画出一次函数图像，分析函数性质,不理解k和b的几何意义，图像画错,k决定倾斜程度，b决定与y轴交点,一次函数|斜率|截距|单调性|图像,2025-09-02T22:25:49.908733
8,数学,Grade 9,第一章 二次函数,1,二次函数的概念,理解二次函数的定义，掌握二次函数的一般形式,5,5,0.95,能够识别二次函数，理解系数的作用,混淆二次函数的不同形式，不理解系数意义,二次函数的一般形式是y=ax²+bx+c（a≠0）,二次函数|抛物线|开口方向|对称轴|顶点,2025-09-02T22:25:49.908733
9,语文,Grade 7,现代文阅读,1,记叙文阅读理解,掌握记叙文的六要素，理解记叙顺序和人称，能够分析文章结构,3,5,0.9,能够分析记叙文的结构和内容，概括文章主旨,不能准确概括文章主旨，混淆记叙顺序,抓住文章的时间、地点、人物、事件、原因、结果,记叙文|六要素|记叙顺序|人称|主旨,2025-09-02T22:25:49.908733
10,语文,Grade 7,现代文阅读,1,说明文阅读理解,掌握说明文的特点，理解说明方法和说明顺序,3,4,0.8,能够识别说明方法，分析说明文结构,不能准确识别说明方法，混淆说明顺序,重点关注说明对象的特征和说明方法,说明文|说明方法|说明顺序|说明对象,2025-09-02T22:25:49.908733
11,英语,Grade 7,语法基础,1,一般现在时,掌握一般现在时的构成形式、用法规则和时间状语，重点掌握第三人称单数的变化,2,5,0.85,正确使用一般现在时描述经常性动作，掌握第三人称单数的动词变化规则,第三人称单数动词变化错误，时间状语使用不当,"记住常用时间状语：always, usually, often, sometimes, never",一般现在时|第三人称单数|时间状语|动词变化,2025-09-02T22:25:49.908733
12,英语,Grade 7,语法基础,1,现在进行时,掌握现在进行时的构成be+动词ing形式，理解其表示正在进行的动作,3,4,0.8,能够正确使用现在进行时描述正在发生的动作,be动词的选择错误，动词ing形式变化规则掌握不准确,注意动词ing的变化规律：直接加ing、去e加ing、双写加ing,现在进行时|be动词|动词ing|正在进行,2025-09-02T22:25:49.908733
13,英语,Grade 7,语法基础,1,名词复数,掌握名词复数的构成规则，包括规则变化和不规则变化,2,4,0.75,能够正确写出名词的复数形式，理解可数名词与不可数名词的区别,不规则复数形式记忆错误，可数与不可数名词混淆,"记住常见不规则复数：child-children, man-men, foot-feet等",名词复数|规则变化|不规则变化|可数名词,2025-09-02T22:25:49.908733
14,物理,Grade 8,力和运动,1,力的概念,理解力是物体对物体的作用，掌握力的三要素（大小、方向、作用点）,3,4,0.7,理解力的概念和本质，掌握力的三要素，能够分析生活中的力现象,混淆力的作用点和施力物体，不理解力的相互性,用力的示意图分析问题，记住力的作用是相互的,力|三要素|大小|方向|作用点|相互作用,2025-09-02T22:25:49.908733
15,物理,Grade 8,力和运动,1,重力,理解重力的概念，掌握重力的大小计算公式G=mg,2,5,0.9,理解重力的产生原因，能够计算物体的重力大小,重力和质量的概念混淆，重力方向理解错误,重力总是竖直向下，重力大小与质量成正比,重力|地球引力|竖直向下|重力加速度,2025-09-02T22:25:49.908733
16,化学,Grade 9,走进化学世界,1,物质的变化,区分物理变化和化学变化，理解化学变化的本质特征是产生新物质,2,4,0.75,能够正确区分物理变化和化学变化，理解化学变化的本质,不能正确区分两种变化，忽略伴随现象与本质区别,判断标准：是否有新物质生成,物理变化|化学变化|新物质|本质特征,2025-09-02T22:25:49.908733
17,化学,Grade 9,走进化学世界,1,化学实验安全,掌握化学实验的基本安全规则和操作注意事项,1,5,0.6,熟悉实验室安全规则，能够安全进行化学实验,忽视安全操作规程，不正确使用实验器材,安全第一，严格按照实验步骤操作,实验安全|操作规程|防护措施|应急处理,2025-09-02T22:25:49.908733
25,数学,Grade 7,有理数,0,正数和负数,理解正数和负数的概念，掌握正负数的表示方法,1,3,0.0,,,,正数|负数|数轴|相反数,2025-09-02T22:25:49.910741
28,数学,Grade 7,整式的加减,0,单项式,理解单项式的概念，掌握单项式的系数和次数,2,3,0.0,,,,单项式|系数|次数|字母,2025-09-02T22:25:49.910741
29,数学,Grade 7,整式的加减,0,多项式,理解多项式的概念，掌握多项式的项数和次数,2,3,0.0,,,,多项式|项|次数|常数项,2025-09-02T22:25:49.910741
30,语文,Grade 7,现代文阅读,0,记叙文阅读,理解记叙文的特点，掌握记叙文的阅读方法,2,4,0.0,,,,记叙文|时间|地点|人物|事件,2025-09-02T22:25:49.910741
31,语文,Grade 7,现代文阅读,0,说明文阅读,理解说明文的特点，掌握说明文的阅读方法,2,4,0.0,,,,说明文|说明对象|说明方法|说明顺序,2025-09-02T22:25:49.910741
36,化学,Grade 9,物质的变化,0,物理变化,理解物理变化的概念和特征,1,3,0.0,,,,物理变化|状态变化|形状变化|分子不变,2025-09-02T22:25:49.910741
37,化学,Grade 9,物质的变化,0,化学变化,理解化学变化的概念和特征,2,4,0.0,,,,化学变化|新物质|分子变化|化学反应,2025-09-02T22:25:49.910741
38,生物,Grade 7,细胞,0,细胞的基本结构,了解细胞的基本结构和功能,2,4,0.0,,,,细胞|细胞膜|细胞质|细胞核,2025-09-02T22:25:49.910741
39,生物,Grade 7,细胞,0,细胞分裂,理解细胞分裂的过程和意义,3,4,0.0,,,,细胞分裂|有丝分裂|无丝分裂|生长,2025-09-02T22:25:49.910741
40,历史,Grade 7,中国古代史,0,夏商周,了解夏商周三个朝代的基本情况,2,3,0.0,,,,夏朝|商朝|周朝|青铜器|甲骨文,2025-09-02T22:25:49.910741
41,历史,Grade 7,中国古代史,0,秦汉,了解秦汉时期的历史发展,2,4,0.0,,,,秦朝|汉朝|统一|中央集权,2025-09-02T22:25:49.910741
42,地理,Grade 7,地球和地图,0,地球的形状和大小,了解地球的形状和基本数据,1,3,0.0,,,,地球|球体|赤道|极半径,2025-09-02T22:25:49.910741
43,地理,Grade 7,地球和地图,0,地图的基本要素,掌握地图的基本要素和使用方法,2,4,0.0,,,,地图|比例尺|方向|图例,2025-09-02T22:25:49.910741
44,政治,Grade 7,思想品德,0,道德与法律,理解道德与法律的关系,2,4,0.0,,,,道德|法律|规范|约束,2025-09-02T22:25:49.910741
45,政治,Grade 7,思想品德,0,公民的基本权利,了解公民的基本权利和义务,2,4,0.0,,,,公民|权利|义务|宪法,2025-09-02T22:25:49.910741
47,数学,Grade 7,有理数,0,有理数的除法,掌握有理数除法的运算法则,2,4,0.0,,,,有理数|除法|运算法则|倒数,2025-09-02T22:25:49.911744
48,数学,Grade 7,有理数,0,有理数的乘方,理解有理数乘方的概念和运算,3,3,0.0,,,,有理数|乘方|幂|指数,2025-09-02T22:25:49.911744
49,数学,Grade 7,整式的加减,0,同类项,理解同类项的概念，掌握合并同类项的方法,2,4,0.0,,,,同类项|合并|系数|字母,2025-09-02T22:25:49.911744
50,数学,Grade 7,整式的加减,0,去括号,掌握去括号的法则,2,4,0.0,,,,去括号|分配律|符号,2025-09-02T22:25:49.911744
51,数学,Grade 8,一元二次方程,0,一元二次方程的概念,理解一元二次方程的概念和一般形式,2,4,0.0,,,,一元二次方程|二次项|一次项|常数项,2025-09-02T22:25:49.911744
52,数学,Grade 8,一元二次方程,0,配方法,掌握用配方法解一元二次方程,3,4,0.0,,,,配方法|完全平方式|配方,2025-09-02T22:25:49.911744
53,数学,Grade 8,一元二次方程,0,公式法,掌握用公式法解一元二次方程,3,4,0.0,,,,公式法|判别式|求根公式,2025-09-02T22:25:49.911744
57,数学,Grade 9,二次函数,0,二次函数的图像,掌握二次函数的图像特征,3,4,0.0,,,,抛物线|开口方向|顶点|对称轴,2025-09-02T22:25:49.911744
58,数学,Grade 9,圆,0,圆的概念,理解圆的概念和基本性质,2,4,0.0,,,,圆|圆心|半径|直径,2025-09-02T22:25:49.911744
59,数学,Grade 9,圆,0,圆周角定理,掌握圆周角定理及其推论,4,4,0.0,,,,圆周角|圆心角|圆周角定理,2025-09-02T22:25:49.911744
60,数学,Grade 9,圆,0,切线,理解切线的概念和性质,3,4,0.0,,,,切线|切点|切线性质,2025-09-02T22:25:49.911744
61,语文,Grade 7,现代文阅读,0,议论文阅读,理解议论文的特点，掌握议论文的阅读方法,3,4,0.0,,,,议论文|论点|论据|论证,2025-09-02T22:25:49.911744
62,语文,Grade 7,现代文阅读,0,散文阅读,理解散文的特点，掌握散文的阅读方法,3,4,0.0,,,,散文|形散神聚|意境|语言,2025-09-02T22:25:49.911744
63,语文,Grade 7,古文阅读,0,文言实词,掌握常见文言实词的含义和用法,3,4,0.0,,,,文言实词|一词多义|古今异义,2025-09-02T22:25:49.911744
64,语文,Grade 7,古文阅读,0,文言虚词,掌握常见文言虚词的用法,3,4,0.0,,,,文言虚词|之|而|以|于,2025-09-02T22:25:49.911744
65,语文,Grade 7,写作,0,记叙文写作,掌握记叙文的写作方法和技巧,2,4,0.0,,,,记叙文|时间|地点|人物|事件,2025-09-02T22:25:49.911744
66,语文,Grade 8,现代文阅读,0,小说阅读,理解小说的特点，掌握小说的阅读方法,3,4,0.0,,,,小说|人物|情节|环境|主题,2025-09-02T22:25:49.911744
67,语文,Grade 8,古文阅读,0,文言句式,掌握常见文言句式的特点,4,4,0.0,,,,判断句|被动句|倒装句|省略句,2025-09-02T22:25:49.911744
68,语文,Grade 8,写作,0,议论文写作,掌握议论文的写作方法和技巧,3,4,0.0,,,,议论文|论点|论据|论证,2025-09-02T22:25:49.911744
69,语文,Grade 9,现代文阅读,0,诗歌鉴赏,掌握诗歌鉴赏的方法和技巧,4,4,0.0,,,,诗歌|意象|意境|表现手法,2025-09-02T22:25:49.911744
70,语文,Grade 9,写作,0,材料作文,掌握材料作文的写作方法,4,5,0.0,,,,材料作文|审题|立意|构思,2025-09-02T22:25:49.911744
71,英语,Grade 7,语法基础,0,一般过去时,掌握一般过去时的用法和构成,2,4,0.0,,,,一般过去时|过去时间|动词过去式,2025-09-02T22:25:49.911744
72,英语,Grade 7,语法基础,0,一般将来时,掌握一般将来时的用法和构成,2,4,0.0,,,,一般将来时|will|be going to,2025-09-02T22:25:49.911744
73,英语,Grade 7,语法基础,0,形容词比较级,掌握形容词比较级的变化规则,2,4,0.0,,,,形容词|比较级|最高级|规则变化,2025-09-02T22:25:49.911744
74,英语,Grade 7,词汇,0,基础词汇,掌握基础词汇的拼写和用法,1,5,0.0,,,,基础词汇|拼写|发音|词义,2025-09-02T22:25:49.911744
76,英语,Grade 8,语法进阶,0,过去进行时,掌握过去进行时的用法和构成,3,3,0.0,,,,过去进行时|was/were doing,2025-09-02T22:25:49.911744
77,英语,Grade 8,语法进阶,0,情态动词,掌握情态动词的用法,3,4,0.0,,,,情态动词|can|may|must|should,2025-09-02T22:25:49.911744
78,英语,Grade 9,语法高级,0,现在完成时,掌握现在完成时的用法和构成,3,4,0.0,,,,现在完成时|have/has done|过去分词,2025-09-02T22:25:49.911744
79,英语,Grade 9,语法高级,0,被动语态,掌握被动语态的构成和用法,4,4,0.0,,,,被动语态|be done|by,2025-09-02T22:25:49.911744
80,英语,Grade 9,语法高级,0,定语从句,掌握定语从句的用法,4,4,0.0,,,,定语从句|关系代词|关系副词,2025-09-02T22:25:49.911744
81,物理,Grade 8,力学基础,0,弹力,理解弹力的概念和胡克定律,2,4,0.0,,,,弹力|胡克定律|弹性形变|弹簧,2025-09-02T22:25:49.911744
82,物理,Grade 8,力学基础,0,摩擦力,理解摩擦力的概念和影响因素,2,4,0.0,,,,摩擦力|静摩擦|滑动摩擦|摩擦系数,2025-09-02T22:25:49.911744
83,物理,Grade 8,压强,0,压强,理解压强的概念和计算公式,2,4,0.0,,,,压强|压力|受力面积|帕斯卡,2025-09-02T22:25:49.911744
84,物理,Grade 8,压强,0,液体压强,理解液体压强的特点和规律,3,4,0.0,,,,液体压强|深度|密度|连通器,2025-09-02T22:25:49.912747
85,物理,Grade 9,电学,0,电流,理解电流的概念和测量,2,4,0.0,,,,电流|电荷|安培|电流表,2025-09-02T22:25:49.912747
86,物理,Grade 9,电学,0,电压,理解电压的概念和测量,2,4,0.0,,,,电压|电势差|伏特|电压表,2025-09-02T22:25:49.912747
87,物理,Grade 9,电学,0,电阻,理解电阻的概念和欧姆定律,3,4,0.0,,,,电阻|欧姆定律|导体|绝缘体,2025-09-02T22:25:49.912747
88,物理,Grade 9,电学,0,串联电路,掌握串联电路的特点和计算,3,4,0.0,,,,串联|电流相等|电压分配,2025-09-02T22:25:49.912747
89,物理,Grade 9,电学,0,并联电路,掌握并联电路的特点和计算,3,4,0.0,,,,并联|电压相等|电流分配,2025-09-02T22:25:49.912747
90,化学,Grade 9,物质的变化,0,化学方程式,掌握化学方程式的书写和配平,3,4,0.0,,,,化学方程式|配平|质量守恒,2025-09-02T22:25:49.912747
91,化学,Grade 9,空气,0,空气的成分,了解空气的主要成分,1,3,0.0,,,,空气|氮气|氧气|二氧化碳,2025-09-02T22:25:49.912747
92,化学,Grade 9,空气,0,氧气的性质,掌握氧气的物理性质和化学性质,2,4,0.0,,,,氧气|助燃|氧化反应,2025-09-02T22:25:49.912747
93,化学,Grade 9,水,0,水的组成,了解水的组成和电解,2,4,0.0,,,,水|氢元素|氧元素|电解,2025-09-02T22:25:49.912747
94,化学,Grade 9,水,0,水的净化,了解水的净化方法,2,3,0.0,,,,水的净化|过滤|蒸馏|吸附,2025-09-02T22:25:49.912747
95,化学,Grade 9,碳和碳的化合物,0,碳的性质,掌握碳的物理性质和化学性质,2,4,0.0,,,,碳|金刚石|石墨|活性炭,2025-09-02T22:25:49.912747
96,化学,Grade 9,碳和碳的化合物,0,二氧化碳,掌握二氧化碳的性质和制法,2,4,0.0,,,,二氧化碳|温室效应|碳酸钙,2025-09-02T22:25:49.912747
97,生物,Grade 7,细胞,0,细胞膜,了解细胞膜的结构和功能,2,3,0.0,,,,细胞膜|选择透过性|保护,2025-09-02T22:25:49.912747
98,生物,Grade 7,细胞,0,细胞质,了解细胞质的组成和功能,2,3,0.0,,,,细胞质|细胞器|新陈代谢,2025-09-02T22:25:49.912747
99,生物,Grade 7,细胞,0,细胞核,了解细胞核的结构和功能,2,4,0.0,,,,细胞核|遗传物质|染色体,2025-09-02T22:25:49.912747
100,生物,Grade 7,生物体的结构层次,0,组织,理解组织的概念和类型,2,3,0.0,,,,组织|上皮组织|结缔组织|肌肉组织,2025-09-02T22:25:49.912747
101,生物,Grade 7,生物体的结构层次,0,器官,理解器官的概念和功能,2,3,0.0,,,,器官|系统|功能,2025-09-02T22:25:49.912747
102,生物,Grade 8,遗传与变异,0,基因,理解基因的概念和作用,3,4,0.0,,,,基因|遗传|DNA|染色体,2025-09-02T22:25:49.912747
103,生物,Grade 8,遗传与变异,0,显性性状和隐性性状,理解显性性状和隐性性状的概念,3,4,0.0,,,,显性性状|隐性性状|基因型|表现型,2025-09-02T22:25:49.912747
104,生物,Grade 8,进化,0,自然选择,理解自然选择的概念和过程,3,4,0.0,,,,自然选择|适者生存|进化,2025-09-02T22:25:49.912747
105,历史,Grade 7,中国古代史,0,隋唐,了解隋唐时期的历史发展,2,4,0.0,,,,隋朝|唐朝|统一|繁荣,2025-09-02T22:25:49.912747
106,历史,Grade 7,中国古代史,0,宋元,了解宋元时期的历史发展,2,3,0.0,,,,宋朝|元朝|经济|文化,2025-09-02T22:25:49.912747
107,历史,Grade 7,中国古代史,0,明清,了解明清时期的历史发展,2,4,0.0,,,,明朝|清朝|专制|闭关,2025-09-02T22:25:49.912747
108,历史,Grade 8,中国近代史,0,鸦片战争,了解鸦片战争的背景和影响,2,4,0.0,,,,鸦片战争|不平等条约|近代史,2025-09-02T22:25:49.912747
109,历史,Grade 8,中国近代史,0,太平天国运动,了解太平天国运动的过程和意义,2,3,0.0,,,,太平天国|农民起义|反封建,2025-09-02T22:25:49.912747
110,历史,Grade 8,中国近代史,0,洋务运动,了解洋务运动的内容和影响,2,3,0.0,,,,洋务运动|自强|求富|近代化,2025-09-02T22:25:49.912747
111,历史,Grade 8,中国近代史,0,戊戌变法,了解戊戌变法的内容和失败原因,2,3,0.0,,,,戊戌变法|维新|改革|失败,2025-09-02T22:25:49.912747
112,历史,Grade 9,中国现代史,0,辛亥革命,了解辛亥革命的过程和意义,2,4,0.0,,,,辛亥革命|民主革命|中华民国,2025-09-02T22:25:49.912747
113,历史,Grade 9,中国现代史,0,五四运动,了解五四运动的过程和意义,2,4,0.0,,,,五四运动|新文化运动|民主科学,2025-09-02T22:25:49.913751
114,历史,Grade 9,中国现代史,0,中国共产党成立,了解中国共产党成立的历史背景,2,4,0.0,,,,中国共产党|马克思主义|工人阶级,2025-09-02T22:25:49.913751
115,地理,Grade 7,地球和地图,0,经纬网,掌握经纬网的概念和应用,2,4,0.0,,,,经纬网|经线|纬线|坐标,2025-09-02T22:25:49.913751
116,地理,Grade 7,地球和地图,0,等高线地形图,掌握等高线地形图的判读,3,4,0.0,,,,等高线|地形|山峰|山谷,2025-09-02T22:25:49.913751
117,地理,Grade 7,陆地和海洋,0,大洲和大洋,了解世界大洲和大洋的分布,1,3,0.0,,,,大洲|大洋|分布|面积,2025-09-02T22:25:49.913751
118,地理,Grade 7,陆地和海洋,0,板块构造学说,理解板块构造学说的基本内容,3,4,0.0,,,,板块|地壳运动|地震|火山,2025-09-02T22:25:49.913751
119,地理,Grade 8,天气与气候,0,天气,理解天气的概念和要素,2,3,0.0,,,,天气|气温|降水|风力,2025-09-02T22:25:49.913751
120,地理,Grade 8,天气与气候,0,气候,理解气候的概念和影响因素,2,4,0.0,,,,气候|纬度|海陆|地形,2025-09-02T22:25:49.913751
121,地理,Grade 8,居民与聚落,0,人口,了解世界人口的分布和增长,2,3,0.0,,,,人口|分布|增长|密度,2025-09-02T22:25:49.913751
122,地理,Grade 8,居民与聚落,0,聚落,理解聚落的概念和类型,2,3,0.0,,,,聚落|城市|乡村|分布,2025-09-02T22:25:49.913751
123,政治,Grade 7,思想品德,0,自尊自信,培养自尊自信的品质,1,3,0.0,,,,自尊|自信|自我价值,2025-09-02T22:25:49.913751
124,政治,Grade 7,思想品德,0,自立自强,培养自立自强的精神,1,3,0.0,,,,自立|自强|独立|奋斗,2025-09-02T22:25:49.913751
125,政治,Grade 7,思想品德,0,诚实守信,培养诚实守信的品质,1,4,0.0,,,,诚实|守信|诚信|道德,2025-09-02T22:25:49.913751
126,政治,Grade 8,法律基础,0,法律的特征,理解法律的基本特征,2,4,0.0,,,,法律|强制性|规范性|普遍性,2025-09-02T22:25:49.913751
127,政治,Grade 8,法律基础,0,宪法,了解宪法的地位和作用,2,4,0.0,,,,宪法|根本法|最高法律效力,2025-09-02T22:25:49.913751
128,政治,Grade 8,法律基础,0,未成年人保护法,了解未成年人保护法的内容,2,4,0.0,,,,未成年人|保护|权利|义务,2025-09-02T22:25:49.913751
129,政治,Grade 9,经济生活,0,市场经济,理解市场经济的基本特征,3,4,0.0,,,,市场经济|供求关系|价格|竞争,2025-09-02T22:25:49.913751
130,政治,Grade 9,经济生活,0,消费,了解消费的概念和类型,2,3,0.0,,,,消费|生产|需求|供给,2025-09-02T22:25:49.913751
131,政治,Grade 9,经济生活,0,投资理财,了解投资理财的基本知识,3,3,0.0,,,,投资|理财|储蓄|保险,2025-09-02T22:25:49.913751
